image_path,image_name,ground_truth,predicted_label,confidence,correct,all_scores
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png,freshapples,rottenbanana,0.4865790903568268,False,"{'freshapples': 0.061575766652822495, 'freshbanana': 0.012989703565835953, 'freshoranges': 0.09108215570449829, 'rottenapples': 0.044014979153871536, 'rottenbanana': 0.4865790903568268, 'rottenoranges': 0.03412938863039017, 'unripe apple': 0.06968352198600769, 'unripe banana': 0.06562867760658264, 'unripe orange': 0.13431668281555176}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.00.35 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.00.35 PM.png,freshapples,rottenbanana,0.4595206379890442,False,"{'freshapples': 0.06034772843122482, 'freshbanana': 0.015201863832771778, 'freshoranges': 0.08637875318527222, 'rottenapples': 0.05418204143643379, 'rottenbanana': 0.4595206379890442, 'rottenoranges': 0.04712609946727753, 'unripe apple': 0.07159479707479477, 'unripe banana': 0.0719265341758728, 'unripe orange': 0.13372153043746948}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.02.54 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.02.54 PM.png,freshapples,rottenbanana,0.4747418761253357,False,"{'freshapples': 0.06510608643293381, 'freshbanana': 0.015118858776986599, 'freshoranges': 0.10580478608608246, 'rottenapples': 0.04493100568652153, 'rottenbanana': 0.4747418761253357, 'rottenoranges': 0.04057008773088455, 'unripe apple': 0.06396390497684479, 'unripe banana': 0.057855043560266495, 'unripe orange': 0.13190829753875732}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.04.42 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.04.42 PM.png,freshapples,rottenbanana,0.48908478021621704,False,"{'freshapples': 0.06062152236700058, 'freshbanana': 0.013401101343333721, 'freshoranges': 0.09558554738759995, 'rottenapples': 0.045074403285980225, 'rottenbanana': 0.48908478021621704, 'rottenoranges': 0.03281400352716446, 'unripe apple': 0.07304291427135468, 'unripe banana': 0.06578558683395386, 'unripe orange': 0.12459009885787964}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.08.46 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.08.46 PM.png,freshapples,rottenbanana,0.4938427209854126,False,"{'freshapples': 0.06087421253323555, 'freshbanana': 0.014021791517734528, 'freshoranges': 0.09678516536951065, 'rottenapples': 0.04458530992269516, 'rottenbanana': 0.4938427209854126, 'rottenoranges': 0.034090910106897354, 'unripe apple': 0.06832677125930786, 'unripe banana': 0.06414077430963516, 'unripe orange': 0.12333239614963531}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.11.02 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.11.02 PM.png,freshapples,rottenbanana,0.4947963356971741,False,"{'freshapples': 0.06103362888097763, 'freshbanana': 0.014196953736245632, 'freshoranges': 0.08017490059137344, 'rottenapples': 0.044602710753679276, 'rottenbanana': 0.4947963356971741, 'rottenoranges': 0.03418499976396561, 'unripe apple': 0.06614537537097931, 'unripe banana': 0.062301281839609146, 'unripe orange': 0.1425638049840927}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.24.26 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.24.26 PM.png,freshapples,rottenbanana,0.5136916041374207,False,"{'freshapples': 0.05853920429944992, 'freshbanana': 0.013092790730297565, 'freshoranges': 0.08508239686489105, 'rottenapples': 0.04327144846320152, 'rottenbanana': 0.5136916041374207, 'rottenoranges': 0.0316074900329113, 'unripe apple': 0.07185287773609161, 'unripe banana': 0.05833695828914642, 'unripe orange': 0.12452521920204163}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.25.33 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.25.33 PM.png,freshapples,rottenbanana,0.4904395341873169,False,"{'freshapples': 0.05928311124444008, 'freshbanana': 0.013953168876469135, 'freshoranges': 0.09676279872655869, 'rottenapples': 0.04164164140820503, 'rottenbanana': 0.4904395341873169, 'rottenoranges': 0.033387381583452225, 'unripe apple': 0.06958227604627609, 'unripe banana': 0.06616019457578659, 'unripe orange': 0.1287899613380432}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.25.54 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.25.54 PM.png,freshapples,rottenbanana,0.4901500344276428,False,"{'freshapples': 0.059107545763254166, 'freshbanana': 0.01380135677754879, 'freshoranges': 0.09944533556699753, 'rottenapples': 0.04287874326109886, 'rottenbanana': 0.4901500344276428, 'rottenoranges': 0.03150983154773712, 'unripe apple': 0.06940846145153046, 'unripe banana': 0.06423193216323853, 'unripe orange': 0.12946675717830658}"
data/fruit_ripeness_dataset/fruit_ripeness_dataset/fruit_archive/dataset/dataset/test/_clean/_split/test/freshapples/rotated_by_15_Screen Shot 2018-06-08 at 5.27.27 PM.png,rotated_by_15_Screen Shot 2018-06-08 at 5.27.27 PM.png,freshapples,rottenbanana,0.5104811191558838,False,"{'freshapples': 0.05849358066916466, 'freshbanana': 0.01471772138029337, 'freshoranges': 0.07770205289125443, 'rottenapples': 0.04217070713639259, 'rottenbanana': 0.5104811191558838, 'rottenoranges': 0.031683824956417084, 'unripe apple': 0.06685733050107956, 'unripe banana': 0.0675751268863678, 'unripe orange': 0.1303185224533081}"
